S.No.,State ,City,ICAO,FAA,IATA,Airport,Role,Enplanements
363,Wisconsin,Tinian Island,PGWT,TNI,TIQ,Tinian International Airport (West Tinian),P-N,38664
364,Wisconsin,Aguadilla,TJBQ,BQN,BQN,Rafael Hernández Airport,P-N,294921
365,Wyoming,Ceiba,TJRV,RVR,NRR,José Aponte de la Torre Airport,P-N,21870
366,Wyoming,Culebra,TJCP,CPX,CPX,Benjamín Rivera Noriega Airport,P-N,14612
367,Wyoming,Ponce,TJPS,PSE,PSE,Mercedita Airport,P-N,91966
368,Wyoming,San Juan,TJIG,SIG,SIG,Fernando Luis Ribas Dominicci Airport (Isla Grande Airport),P-N,14106
369,Wyoming,San Juan / Carolina,TJSJ,SJU,SJU,Luis Muñoz Marín International Airport,P-M,4033412
370,Wyoming,Vieques,TJVQ,VQS,VQS,Antonio Rivera Rodríguez Airport,P-N,29022
371,Wyoming,"Charlotte Amalie, St. Thomas",TIST,STT,STT,Cyril E. King Airport,P-S,417871
372,Wyoming,"Christiansted, St. Croix",TISX,STX,STX,Henry E. Rohlsen Airport,P-N,212812
,,,,,,,,
https://www.downloadexcelfiles.com/,,,,,,,,
